id,title,json,genre,release_date,runtime,seasons,plot
tt0214359,Night Calls,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u'Night Calls', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'6.1/10'}], u'Writer': u'Jim English', u'Actors': u'Jesse Jane, Kirsten Price', u'Type': u'series', u'imdbVotes': u'39', u'totalSeasons': u'11', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MzAwNjA4NV5BMl5BanBnXkFtZTcwMTg1NDM0MQ@@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Talk-Show', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt0214359', u'Metascore': u'N/A', u'imdbRating': u'6.1', u'Year': u'1995\u2013'}",talk-show,N/A,n/a,11,
tt0112010,The Huggabug Club,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u'The Huggabug Club', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'6.6/10'}], u'Writer': u'N/A', u'Actors': u'Alexie Agdeppa, Audrey Landers, Daniel Landers, Landon Prairie', u'Type': u'series', u'imdbVotes': u'18', u'totalSeasons': u'3', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNDMzMDQzNzUxM15BMl5BanBnXkFtZTgwMTYzMzgwMzE@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'N/A', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt0112010', u'Metascore': u'N/A', u'imdbRating': u'6.6', u'Year': u'1995\u2013'}",n/a,N/A,n/a,3,
tt0138224,BattleTech,"{u'Plot': u'Based upon the strategy war game and set during events in the Blood of Kerensky Trilogy by Michael Stackpole, a small independent unit lead by Maj. Adam Steiner fights their way to their home planet of Somerset when news of an army of mysterious invaders calling themselves the Clans begin to conquer world after world in their ultimate goal to take Terra. The First Somerset Strikers, as the unit is called, is assigned to take the fight to the Clans and learn as much of the invaders as they can, all the while being pursued by an obsessive Clan Jade Falcon warrior named Nicholai Malthus.', u'Rated': u'N/A', u'Title': u'BattleTech', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'7.8/10'}], u'Writer': u'N/A', u'Actors': u'Peter Spellos', u'Type': u'series', u'imdbVotes': u'78', u'totalSeasons': u'1', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOTIwNTdlMjYtYmE0MS00YzMzLWFhNGUtMGQ5NzNmMmRmMjZkXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Animation, Action, Sci-Fi', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt0138224', u'Metascore': u'N/A', u'imdbRating': u'7.8', u'Year': u'1995\u2013'}","animation, action, sci-fi",N/A,n/a,1,"Based upon the strategy war game and set during events in the Blood of Kerensky Trilogy by Michael Stackpole, a small independent unit lead by Maj. Adam Steiner fights their way to their home planet of Somerset when news of an army of mysterious invaders calling themselves the Clans begin to conquer world after world in their ultimate goal to take Terra. The First Somerset Strikers, as the unit is called, is assigned to take the fight to the Clans and learn as much of the invaders as they can, all the while being pursued by an obsessive Clan Jade Falcon warrior named Nicholai Malthus."
tt0111911,Cartoon Planet,"{u'Plot': u'Following success as a late night talk show host, Space Ghost recruits Brak (now somewhat brain-damaged) to his cast for his very own variety show. Zorak (from Coast to Coast) serves as the third host.', u'Rated': u'N/A', u'Title': u'Cartoon Planet', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'8.6/10'}], u'Writer': u'N/A', u'Actors': u'C. Martin Croker, George Lowe, Andy Merrill', u'Type': u'series', u'imdbVotes': u'302', u'totalSeasons': u'1', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'10 Sep 1997', u'Awards': u'N/A', u'Genre': u'Animation, Comedy, Musical', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt0111911', u'Metascore': u'N/A', u'imdbRating': u'8.6', u'Year': u'1995\u20131999'}","animation, comedy, musical",10 Sep 1997,n/a,1,"Following success as a late night talk show host, Space Ghost recruits Brak (now somewhat brain-damaged) to his cast for his very own variety show. Zorak (from Coast to Coast) serves as the third host."
tt1840205,The Story Keepers,"{u'Plot': u""This is an animated Christian series. It tells the story of a family helping each other and others who are being persecuted because of their new found faith. The series follows this family of 'Story-Tellers' or Story-Keepers who base their stories on the teachings of Jesus Christ. The story centres on the beginning foundation of the Christian faith during the Roman Times. It tells the story of a Baker and his wife and his children who help other believers to hide and stay away from harm."", u'Rated': u'N/A', u'Title': u'The Story Keepers', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'7.8/10'}], u'Writer': u'N/A', u'Actors': u'Kasey Folk, Catherine M. Smith, David Soldinger, Kevin Varner', u'Type': u'series', u'imdbVotes': u'39', u'totalSeasons': u'1', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNDJmNWU3MzUtYTY2YS00ODRkLWFmYTQtMWM4MDBkZWFkNWViXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Animation, Family', u'Response': u'True', u'Language': u'English', u'Country': u'Ireland, USA', u'Runtime': u'30 min', u'imdbID': u'tt1840205', u'Metascore': u'N/A', u'imdbRating': u'7.8', u'Year': u'1995\u20131997'}","animation, family",N/A,30,1,This is an animated Christian series. It tells the story of a family helping each other and others who are being persecuted because of their new found faith. The series follows this family of 'Story-Tellers' or Story-Keepers who base their stories on the teachings of Jesus Christ. The story centres on the beginning foundation of the Christian faith during the Roman Times. It tells the story of a Baker and his wife and his children who help other believers to hide and stay away from harm.
tt0257330,Wild About Animals,"{u'Plot': u'Traveling the globe to deliver young viewers fascinating stories about animals around the world.', u'Rated': u'N/A', u'Title': u'Wild About Animals', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'7.1/10'}], u'Writer': u'N/A', u'Actors': u'Mariette Hartley', u'Type': u'series', u'imdbVotes': u'19', u'totalSeasons': u'N/A', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'2 nominations.', u'Genre': u'Documentary, Family', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'30 min', u'imdbID': u'tt0257330', u'Metascore': u'N/A', u'imdbRating': u'7.1', u'Year': u'1995\u2013'}","documentary, family",N/A,30,n/a,Traveling the globe to deliver young viewers fascinating stories about animals around the world.
tt0111872,The Adventures of Timmy the Tooth,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u'The Adventures of Timmy the Tooth', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'7.3/10'}], u'Writer': u'N/A', u'Actors': u'Cheryl Blaylock, Greg Ballora, Phil Baron, Kevin Carlson', u'Type': u'series', u'imdbVotes': u'27', u'totalSeasons': u'N/A', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Animation, Adventure, Family', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt0111872', u'Metascore': u'N/A', u'imdbRating': u'7.3', u'Year': u'1995\u2013'}","animation, adventure, family",N/A,n/a,n/a,
tt3213400,Colby's Clubhouse,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u""Colby's Clubhouse"", u'Ratings': [], u'Writer': u'N/A', u'Actors': u'Peter Jacobs', u'Type': u'series', u'imdbVotes': u'N/A', u'totalSeasons': u'N/A', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Family, Music', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt3213400', u'Metascore': u'N/A', u'imdbRating': u'N/A', u'Year': u'1995\u20132000'}","family, music",N/A,n/a,n/a,
tt0344422,Tales of Mystery and Imagination,"{u'Plot': u'Horror stories by Edgar Allen Poe dramatized and introduced by horror actor Christopher Lee.', u'Rated': u'N/A', u'Title': u'Tales of Mystery and Imagination', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'6.6/10'}], u'Writer': u'N/A', u'Actors': u'Christopher Lee', u'Type': u'series', u'imdbVotes': u'61', u'totalSeasons': u'N/A', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMjE3MzE1OTIxMF5BMl5BanBnXkFtZTcwMTk2NjUzMQ@@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Drama, Horror, Mystery', u'Response': u'True', u'Language': u'English', u'Country': u'USA, Canada, UK', u'Runtime': u'30 min', u'imdbID': u'tt0344422', u'Metascore': u'N/A', u'imdbRating': u'6.6', u'Year': u'1995\u2013'}","drama, horror, mystery",N/A,30,n/a,Horror stories by Edgar Allen Poe dramatized and introduced by horror actor Christopher Lee.
tt0229122,Darkstalkers,"{u'Plot': u""A young descendant of Arthurian Merlin the wizard must help the opposing army stop an alien overlord who's using supernatural creatures called Darkstalkers to take over the world. Famous movie and mythical monsters fight for both sides."", u'Rated': u'TV-Y7', u'Title': u'Darkstalkers', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'4.4/10'}], u'Writer': u'N/A', u'Actors': u'Kathleen Barr, Lisa Ann Beley, Ian James Corlett, Michael Donovan', u'Type': u'series', u'imdbVotes': u'85', u'totalSeasons': u'1', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTQ1NjY3NTk4OF5BMl5BanBnXkFtZTcwMzYwOTQyMQ@@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Animation, Action, Fantasy', u'Response': u'True', u'Language': u'English', u'Country': u'USA, Canada', u'Runtime': u'N/A', u'imdbID': u'tt0229122', u'Metascore': u'N/A', u'imdbRating': u'4.4', u'Year': u'1995\u2013'}","animation, action, fantasy",N/A,n/a,1,A young descendant of Arthurian Merlin the wizard must help the opposing army stop an alien overlord who's using supernatural creatures called Darkstalkers to take over the world. Famous movie and mythical monsters fight for both sides.
tt0112037,LAPD,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u'LAPD', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'6.6/10'}], u'Writer': u'N/A', u'Actors': u'Andy Geller, Scott Reitz, Jamie McBride, Dave Mora', u'Type': u'series', u'imdbVotes': u'12', u'totalSeasons': u'1', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMzM4NjA0NDI3NV5BMl5BanBnXkFtZTcwNjgzNzAwMQ@@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Crime', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt0112037', u'Metascore': u'N/A', u'imdbRating': u'6.6', u'Year': u'1995\u2013'}",crime,N/A,n/a,1,
tt0243076,The Moxy &amp; Flea Show,"{u'Plot': u'N/A', u'Rated': u'TV-Y7', u'Title': u'The Moxy & Flea Show', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'7.2/10'}], u'Writer': u'N/A', u'Actors': u'Chris Rock, Penn Jillette, Bobcat Goldthwait', u'Type': u'series', u'imdbVotes': u'13', u'totalSeasons': u'N/A', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Animation, Comedy', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'60 min', u'imdbID': u'tt0243076', u'Metascore': u'N/A', u'imdbRating': u'7.2', u'Year': u'1995\u2013'}","animation, comedy",N/A,60,n/a,
tt0212670,Littlest Pet Shop,"{u'Plot': u'N/A', u'Rated': u'TV-Y', u'Title': u'Littlest Pet Shop', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'6.2/10'}], u'Writer': u'N/A', u'Actors': u'Kathleen Barr', u'Type': u'series', u'imdbVotes': u'29', u'totalSeasons': u'1', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Animation, Comedy, Family', u'Response': u'True', u'Language': u'English', u'Country': u'Canada, USA, France', u'Runtime': u'30 min', u'imdbID': u'tt0212670', u'Metascore': u'N/A', u'imdbRating': u'6.2', u'Year': u'1995\u2013'}","animation, comedy, family",N/A,30,1,
tt1041883,Understanding,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u'Understanding', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'8.0/10'}], u'Writer': u'N/A', u'Actors': u'Candice Bergen, Jane Curtin, Peter Coyote', u'Type': u'series', u'imdbVotes': u'13', u'totalSeasons': u'N/A', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'N/A', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt1041883', u'Metascore': u'N/A', u'imdbRating': u'8.0', u'Year': u'1995\u20132004'}",n/a,N/A,n/a,n/a,
tt0111869,A.J.'s Time Travelers,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u""A.J.'s Time Travelers"", u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'6.9/10'}], u'Writer': u'N/A', u'Actors': u'Jeremiah Birkett, Larry Cedar, Teresa Jones, Patty Maloney', u'Type': u'series', u'imdbVotes': u'22', u'totalSeasons': u'1', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYjc2NWQwYTItODQ5My00YmNhLTlkYTUtMzNhZWUyNmI2ZGZkXkEyXkFqcGdeQXVyMjcyMDU4NA@@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Adventure, Family', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'30 min', u'imdbID': u'tt0111869', u'Metascore': u'N/A', u'imdbRating': u'6.9', u'Year': u'1995\u2013'}","adventure, family",N/A,30,1,
tt0809403,Snaps,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u'Snaps', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'5.7/10'}], u'Writer': u'N/A', u'Actors': u'Monteria Ivey, Fig', u'Type': u'series', u'imdbVotes': u'9', u'totalSeasons': u'N/A', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0Njk3OTYxMV5BMl5BanBnXkFtZTcwOTcxODIzMQ@@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Comedy', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'30 min', u'imdbID': u'tt0809403', u'Metascore': u'N/A', u'imdbRating': u'5.7', u'Year': u'1995\u2013'}",comedy,N/A,30,n/a,
tt0111908,Campus Cops,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u'Campus Cops', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'7.0/10'}], u'Writer': u'Frank Dungan, Michael S. Baser, Michael Baser, Michael Basher', u'Actors': u'Ben Bode, Jerry Kernion, David Sage, JD Cullum', u'Type': u'series', u'imdbVotes': u'12', u'totalSeasons': u'1', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'06 Jan 1996', u'Awards': u'N/A', u'Genre': u'N/A', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt0111908', u'Metascore': u'N/A', u'imdbRating': u'7.0', u'Year': u'1995\u2013'}",n/a,06 Jan 1996,n/a,1,
tt0112179,The Stephanie Miller Show,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u'The Stephanie Miller Show', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'6.4/10'}], u'Writer': u'N/A', u'Actors': u""Richard O'Brien, Patricia Quinn, Marshall Chapman, Kristin Davis"", u'Type': u'series', u'imdbVotes': u'9', u'totalSeasons': u'1', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Family, Talk-Show', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt0112179', u'Metascore': u'N/A', u'imdbRating': u'6.4', u'Year': u'1995\u2013'}","family, talk-show",N/A,n/a,1,
