,json,title_rough,check,title
23,"{u'imdbID': u'tt1553656', u'Year': u'2013\u20132015', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3NDk0NzM1MF5BMl5BanBnXkFtZTcwOTYxMTk3OQ@@._V1_SX300.jpg', u'Title': u'Under the Dome'}",June 24 - Under the Dome,0.0,Under the Dome
24,"{u'imdbID': u'tt1868102', u'Year': u'2011\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5MTU2NDg2OV5BMl5BanBnXkFtZTgwMTQwOTcwMzE@._V1_SX300.jpg', u'Title': u'101 Ways to Leave a Game Show'}",July 10 - 101 Ways to Leave a Game Show,0.0,101 Ways to Leave a Game Show
25,"{u'imdbID': u'tt3056472', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5MjI2ODczM15BMl5BanBnXkFtZTgwNTk0MzAxMzE@._V1_SX300.jpg', u'Title': u'Total Divas'}",July 28 - Total Divas,0.0,Total Divas
26,"{u'imdbID': u'tt3105674', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTUwNjQyNzAwMl5BMl5BanBnXkFtZTgwNTcxMzAxMzE@._V1_SX300.jpg', u'Title': u'Rabbids Invasion'}",August 3 - Rabbids Invasion,0.0,Rabbids Invasion
27,"{u'imdbID': u'tt3042608', u'Year': u'2010\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BNzc2MDQ3MzMxNF5BMl5BanBnXkFtZTgwNTY4ODAxMDE@._V1_SX300.jpg', u'Title': u'Uncle Grandpa'}",September 2 - Uncle Grandpa,0.0,Uncle Grandpa
28,check out later,September 9 - OK!TV,0.0,OK!TV
29,"{u'imdbID': u'tt1655610', u'Year': u'2010\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOTE0NTc1MzE5OV5BMl5BanBnXkFtZTgwNTMyMTgwMzE@._V1_SX300.jpg', u'Title': u'Baka and Test: Summon the Beasts'}",September 9 - The Test,0.0,The Test
30,"{u'imdbID': u'tt2252938', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMjIwNDQzODk4Nl5BMl5BanBnXkFtZTgwNDQ2NDMyMDE@._V1_SX300.jpg', u'Title': u'Wander Over Yonder'}",September 13 - Wander Over Yonder,0.0,Wander Over Yonder
31,"{u'imdbID': u'tt2794380', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTcxNjg3MzgwNV5BMl5BanBnXkFtZTgwODYxOTQxMDE@._V1_SX300.jpg', u'Title': u'Liv and Maddie'}",September 15 - Liv and Maddie,0.0,Liv and Maddie
32,"{u'imdbID': u'tt2467372', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3NzY2NDA2Ml5BMl5BanBnXkFtZTgwNDA5MzI2NzE@._V1_SX300.jpg', u'Title': u'Brooklyn Nine-Nine'}",September 17 - Brooklyn Nine Nine,0.0,Brooklyn Nine Nine
33,"{u'imdbID': u'tt0096537', u'Year': u'1989\u20131994', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BNzA5YzI1YzktZWY3OS00NTU4LTljMTgtOTg4Mzc0MGYzMTgxXkEyXkFqcGdeQXVyMjcyMDU4NA@@._V1_SX300.jpg', u'Title': u'The Arsenio Hall Show'}",September 16 - The Arsenio Hall Show,0.0,The Arsenio Hall Show
34,"{u'imdbID': u'tt2741602', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1NTcwNTUxM15BMl5BanBnXkFtZTgwNzU3MDk2OTE@._V1_SX300.jpg', u'Title': u'The Blacklist'}",September 23 - The Blacklist,0.0,The Blacklist
35,"{u'imdbID': u'tt2099467', u'Year': u'2013\u20132015', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTY3NzAwMDkzOF5BMl5BanBnXkFtZTgwMDUzNjA2MDE@._V1_SX300.jpg', u'Title': u'The Queen Latifah Show'}",September 23 - The Queen Latifah Show,0.0,The Queen Latifah Show
36,"{u'imdbID': u'tt2660806', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzMDYwNDIyNl5BMl5BanBnXkFtZTgwODA3NTQwMDI@._V1_SX300.jpg', u'Title': u'Mom'}",September 23 - Mom,0.0,Mom
37,"{u'imdbID': u'tt2647258', u'Year': u'2013\u20132014', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0MzkzOTI5Ml5BMl5BanBnXkFtZTgwNzI1MjAwMDE@._V1_SX300.jpg', u'Title': u'Hostages'}",September 23 - Hostages,0.0,Hostages
38,"{u'imdbID': u'tt2603596', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjMyNjE2NjM0MV5BMl5BanBnXkFtZTgwMjg3MDg1MDE@._V1_SX300.jpg', u'Title': u'The Wrong Mans'}",September 24 - The Wrong Mans,0.0,The Wrong Mans
39,"{u'imdbID': u'tt4501242', u'Year': u'2015', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMWYwMzY1NmYtNDBiNC00OGE5LThmYTAtZWU0MTljMzIzYmI3XkEyXkFqcGdeQXVyMDM0MzU2NA@@._V1_SX300.jpg', u'Title': u""Marvel's Agents of S.H.I.E.L.D.: Double Agent""}",September 24 - Marvel's Agents of S.H.I.E.L.D.,0.0,Marvel's Agents of S.H.I.E.L.D.
40,"{u'imdbID': u'tt2712740', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTczOTc4NzY4NF5BMl5BanBnXkFtZTgwOTM1Mzk5OTE@._V1_SX300.jpg', u'Title': u'The Goldbergs'}",September 24 - The Goldbergs,0.0,The Goldbergs
41,"{u'imdbID': u'tt2400736', u'Year': u'2013\u20132014', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxODU5Njk3OF5BMl5BanBnXkFtZTgwMDYwMjY1MDE@._V1_SX300.jpg', u'Title': u'Trophy Wife'}",September 24 - Trophy Wife,0.0,Trophy Wife
42,"{u'imdbID': u'tt2710104', u'Year': u'2013\u20132014', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMzU3ODgxOTMyMl5BMl5BanBnXkFtZTgwOTk4MDA0MDE@._V1_SX300.jpg', u'Title': u'The Crazy Ones'}",September 26 - The Crazy Ones,0.0,The Crazy Ones
43,"{u'imdbID': u'tt2338232', u'Year': u'2013\u20132014', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BODQ1ODA3MzY1MF5BMl5BanBnXkFtZTgwODY2NzEyMDE@._V1_SX300.jpg', u'Title': u'The Michael J. Fox Show'}",September 26 - The Michael J. Fox Show,0.0,The Michael J. Fox Show
44,"{u'imdbID': u'tt3038248', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMjM4NTE2OTM1M15BMl5BanBnXkFtZTgwODgyMzAxMzE@._V1_SX300.jpg', u'Title': u'MasterChef Junior'}",September 27 - MasterChef Junior,0.0,MasterChef Junior
45,"{u'imdbID': u'tt3216154', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTUwNzgyMTg0OF5BMl5BanBnXkFtZTgwNDYxODA2NDE@._V1_SX300.jpg', u'Title': u'Julius Jr.'}",September 29 - Julius Jr.,0.0,Julius Jr.
46,"{u'imdbID': u'tt2298477', u'Year': u'2013\u20132014', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MjE3MzAyMV5BMl5BanBnXkFtZTgwOTQzMjA1MDE@._V1_SX300.jpg', u'Title': u'Super Fun Night'}",October 2 - Super Fun Night,0.0,Super Fun Night
47,"{u'imdbID': u'tt2737290', u'Year': u'2013\u20132015', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4NjIxODUwNF5BMl5BanBnXkFtZTcwOTg2NzM5OQ@@._V1_SX300.jpg', u'Title': u'The Millers'}",October 3 - The Millers,0.0,The Millers
48,"{u'imdbID': u'tt2715776', u'Year': u'2013\u20132014', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTYyNzA3ODU4MF5BMl5BanBnXkFtZTgwMTYwMDQyMDE@._V1_SX300.jpg', u'Title': u'Sean Saves the World'}",October 3 - Sean Saves the World,0.0,Sean Saves the World
49,"{u'imdbID': u'tt2709648', u'Year': u'2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4MDI2NTU1OV5BMl5BanBnXkFtZTgwOTEzNTcyMDE@._V1_SX300.jpg', u'Title': u'Welcome to the Family'}",October 3 - Welcome to the Family,0.0,Welcome to the Family
50,check out later,October 7 - Peg + Cat,0.0,Peg + Cat
51,"{u'imdbID': u'tt2660734', u'Year': u'2013\u20132014', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyMDA4NjY0Nl5BMl5BanBnXkFtZTgwMDgzNDIxMDE@._V1_SX300.jpg', u'Title': u'The Tomorrow People'}",October 9 - The Tomorrow People,0.0,The Tomorrow People
52,"{u'imdbID': u'tt2802008', u'Year': u'2013\u20132014', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTU2NDgyMDQ3MV5BMl5BanBnXkFtZTgwMjY5NDczMDE@._V1_SX300.jpg', u'Title': u'Once Upon a Time in Wonderland'}",October 10 - Once Upon a Time in Wonderland,0.0,Once Upon a Time in Wonderland
53,"{u'imdbID': u'tt2710394', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1NjY0OTQ3MF5BMl5BanBnXkFtZTgwNjUxMTM5NjE@._V1_SX300.jpg', u'Title': u'Reign'}",October 17 - Reign,0.0,Reign
54,"{u'imdbID': u'tt2296682', u'Year': u'2013\u20132014', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BNTAwOTU2NjE0MF5BMl5BanBnXkFtZTgwNzM3MDE0MDE@._V1_SX300.jpg', u'Title': u'Dracula'}",October 25 - Dracula,0.0,Dracula
55,"{u'imdbID': u'tt3278316', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'N/A', u'Title': u'The Pete Holmes Show'}",October 28 - The Pete Holmes Show,0.0,The Pete Holmes Show
56,"{u'imdbID': u'tt2861424', u'Year': u'2013\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNDEwNTE0Nl5BMl5BanBnXkFtZTgwMzQ1MTg3MDE@._V1_SX300.jpg', u'Title': u'Rick and Morty'}",December 2 - Rick and Morty,0.0,Rick and Morty
57,"{u'imdbID': u'tt2520946', u'Year': u'2013\u20132014', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMzU0NjQyMF5BMl5BanBnXkFtZTgwMjk3NjU2MDE@._V1_SX300.jpg', u'Title': u'Kirstie'}",December 4 - Kirstie,0.0,Kirstie
58,"{u'imdbID': u'tt2176609', u'Year': u'2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTk1OTQyMDM5Nl5BMl5BanBnXkFtZTgwMDEwMDQyMDE@._V1_SX300.jpg', u'Title': u'Mob City'}",December 4 - Mob City,0.0,Mob City
59,"{u'imdbID': u'tt1797404', u'Year': u'2012\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMjM2NDI0MTc5MV5BMl5BanBnXkFtZTgwMjEzNTQxODE@._V1_SX300.jpg', u'Title': u'House of Lies'}",January 8 - House of Lies,0.0,House of Lies
60,"{u'imdbID': u'tt1949012', u'Year': u'2012\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTY0NDczMjAwNF5BMl5BanBnXkFtZTcwNjE5Mjc2Nw@@._V1_SX300.jpg', u'Title': u'The Firm'}","January 8 - The Firm - July 14, 2012",0.0,The Firm
61,"{u'imdbID': u'tt2128103', u'Year': u'2012\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMzY1MTc1Ml5BMl5BanBnXkFtZTgwNjMzNTI4NzE@._V1_SX300.jpg', u'Title': u'Shipping Wars'}",January 10 - Shipping Wars,0.0,Shipping Wars
62,"{u'imdbID': u'tt1826989', u'Year': u'2012\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BOTg0ODg0OTUxOV5BMl5BanBnXkFtZTcwMjg1ODMzNw@@._V1_SX300.jpg', u'Title': u'Are You There, Chelsea?'}","January 11 - Are You There, Chelsea? - March 28, 2012",0.0,"Are You There, Chelsea?"
63,"{u'imdbID': u'tt1943524', u'Year': u'2012\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNjIxMDMyNjQwMl5BMl5BanBnXkFtZTcwODE5Mjc2Nw@@._V1_SX300.jpg', u'Title': u'The Finder'}","January 12 - The Finder - May 11, 2012",0.0,The Finder
64,"{u'imdbID': u'tt0791283', u'Year': u'2006\u20132008', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTI1Njc4NDIxOF5BMl5BanBnXkFtZTcwMTQ0MDE0MQ@@._V1_SX300.jpg', u'Title': u'Rob & Big'}","January 12 - ¡Rob! - March 1, 2012",0.0,¡Rob!
65,"{u'imdbID': u'tt1743880', u'Year': u'2012\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMjI2MDk0MjMxNl5BMl5BanBnXkFtZTcwNzgwOTM4NQ@@._V1_SX300.jpg', u'Title': u'Napoleon Dynamite'}","January 15 - Napoleon Dynamite - March 4, 2012",0.0,Napoleon Dynamite
66,"{u'imdbID': u'tt1728102', u'Year': u'2012', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNzQ4ODE2ODk2NF5BMl5BanBnXkFtZTcwMzQwNDIyNw@@._V1_SX300.jpg', u'Title': u'Alcatraz'}","January 16 - Alcatraz - March 26, 2012",0.0,Alcatraz
67,"{u'imdbID': u'tt2122954', u'Year': u'2012\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTU5Nzk0ODUxNl5BMl5BanBnXkFtZTcwMzE5Mjc2Nw@@._V1_SX300.jpg', u'Title': u'Unsupervised'}","January 19 - Unsupervised - December 20, 2012",0.0,Unsupervised
68,"{u'imdbID': u'tt1821681', u'Year': u'2012\u20132013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BNTI3OTcwNTk3Ml5BMl5BanBnXkFtZTcwNzA3NzAzNw@@._V1_SX300.jpg', u'Title': u'Touch'}",January 25 - Touch,0.0,Touch
69,"{u'imdbID': u'tt1943276', u'Year': u'2012', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzOTU0OTA2M15BMl5BanBnXkFtZTgwNzc0NDAxMDE@._V1_SX300.jpg', u'Title': u'How to Rock'}","February 4 - How to Rock - December 8, 2012",0.0,How to Rock
70,"{u'imdbID': u'tt1825133', u'Year': u'2012\u20132013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTYwMjEzOTI4M15BMl5BanBnXkFtZTcwODMwNTc3OA@@._V1_SX300.jpg', u'Title': u'Smash'}",February 6 - Smash,0.0,Smash
71,"{u'imdbID': u'tt1836195', u'Year': u'2012', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwMTU2MTMwOF5BMl5BanBnXkFtZTcwNzU2ODUzNw@@._V1_SX300.jpg', u'Title': u'The River'}","February 7 - The River - March 20, 2012",0.0,The River
72,"{u'imdbID': u'tt1839683', u'Year': u'2012', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwMTcyNzM1MF5BMl5BanBnXkFtZTcwMTIxODIzNQ@@._V1_SX300.jpg', u'Title': u'Awake'}","March 1 - Awake - May 24, 2012",0.0,Awake
73,"{u'imdbID': u'tt3877200', u'Year': u'2014\u2013', u'Type': u'series', u'Poster': u'N/A', u'Title': u'The Missing'}","March 15 - Missing - May 17, 2012",0.0,Missing
74,"{u'imdbID': u'tt2229907', u'Year': u'2012\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0MDU1MzY4Nl5BMl5BanBnXkFtZTcwODM5ODk2Nw@@._V1_SX300.jpg', u'Title': u'Duck Dynasty'}",March 21 - Duck Dynasty,0.0,Duck Dynasty
75,"{u'imdbID': u'tt1710295', u'Year': u'2012\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwOTYwODc5OF5BMl5BanBnXkFtZTcwNDM4NDM0Nw@@._V1_SX300.jpg', u'Title': u'Doc McStuffins'}",March 23 - Doc McStuffins,0.0,Doc McStuffins
76,"{u'imdbID': u'tt1845887', u'Year': u'2012\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3MTU3OTY2Ml5BMl5BanBnXkFtZTcwMDUxODIzNQ@@._V1_SX300.jpg', u'Title': u'Best Friends Forever'}","April 4 - Best Friends Forever - June 1, 2012",0.0,Best Friends Forever
77,"{u'imdbID': u'tt0476916', u'Year': u'2005\u20132010', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTg2NzA0NjcyNF5BMl5BanBnXkFtZTcwNjg3MDQwNA@@._V1_SX300.jpg', u'Title': u'Kathy Griffin: My Life on the D-List'}",April 19 - Kathy,0.0,Kathy
78,"{u'imdbID': u'tt1759761', u'Year': u'2012\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2NDM0OTEwMl5BMl5BanBnXkFtZTgwNzgwNDI0ODE@._V1_SX300.jpg', u'Title': u'Veep'}",April 22 - Veep,0.0,Veep
79,"{u'imdbID': u'tt1771072', u'Year': u'2012', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTQ5NjI0NjEzMF5BMl5BanBnXkFtZTcwNzg3MTc3Nw@@._V1_SX300.jpg', u'Title': u'Common Law'}","May 11 - Common Law - August 10, 2012",0.0,Common Law
80,"{u'imdbID': u'tt2349440', u'Year': u'2012\u2013', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BNDgzNTIzMjQ3NF5BMl5BanBnXkFtZTgwNDY1NDAxMzE@._V1_SX300.jpg', u'Title': u'Robot and Monster'}",August 4 - Robot and Monster,0.0,Robot and Monster
81,"{u'imdbID': u'tt2288050', u'Year': u'2012\u20132014', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTQyNzQyMTAyOF5BMl5BanBnXkFtZTcwNzE1MDYzOA@@._V1_SX300.jpg', u'Title': u'Here Comes Honey Boo Boo'}",August 8 - Here Comes Honey Boo Boo,0.0,Here Comes Honey Boo Boo
82,"{u'imdbID': u'tt1936532', u'Year': u'2012\u2013', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTExMzA0NTQwMzheQTJeQWpwZ15BbWU3MDMzNzY2MTg@._V1_SX300.jpg', u'Title': u'Major Crimes'}",August 13 - Major Crimes,0.0,Major Crimes
83,"{u'imdbID': u'tt0115372', u'Year': u'1996\u20132002', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTQ1NzkzNTA5M15BMl5BanBnXkFtZTcwMTk2ODAyMQ@@._V1_SX300.jpg', u'Title': u'The Steve Harvey Show'}",September 3 - Steve Harvey,0.0,Steve Harvey
