,json,title_rough,check,title,imdb_id,big_json,seasons,cancelled,runtime,genres,parental_rating,imdb_rating,release_date,plot,year,type,votes,metascore,keywords,first_year,is_new
392,"{u'imdbID': u'tt1809014', u'Title': u'My Strange Addiction', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTYzNDAwODM5OF5BMl5BanBnXkFtZTcwNDIxNzgyNA@@._V1_SX300.jpg', u'Year': u'2010–'}",December 29 - My Strange Addiction,1,My Strange Addiction,tt1809014,"{u'totalSeasons': u'6', u'Plot': u'Tells the compelling stories of people who are battling obsessive behaviors on the verge of taking over their lives. Follow these addicts as they reveal their strange addictions and meet with psychological experts.', u'Rated': u'TV-PG', u'Response': u'True', u'Language': u'English', u'Title': u'My Strange Addiction', u'Country': u'USA', u'Writer': u'Chris Sergi', u'Metascore': u'N/A', u'imdbRating': u'5.8', u'Director': u'N/A', u'Released': u'05 May 2010', u'Actors': u'John Zajecka, Demi Kazanis', u'Year': u'2010–', u'Genre': u'Biography, Reality-TV', u'Awards': u'N/A', u'Runtime': u'30 min', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNDAwODM5OF5BMl5BanBnXkFtZTcwNDIxNzgyNA@@._V1_SX300.jpg', u'imdbVotes': u'670', u'imdbID': u'tt1809014'}",6,0,30 min,"Biography, Reality-TV",TV-PG,5.8,05 May 2010,Tells the compelling stories of people who are battling obsessive behaviors on the verge of taking over their lives. Follow these addicts as they reveal their strange addictions and meet with psychological experts.,2010–,series,670,,"[addiction, eating disorder, strange person, strange behavior, compulsion, obsession, fetish]",2010,0
393,"{u'imdbID': u'tt0978760', u'Title': u'Game Show in My Head', u'Type': u'series', u'Poster': u'N/A', u'Year': u'2009–'}",January 3 - Game Show in My Head,1,Game Show in My Head,tt0978760,"{u'totalSeasons': u'1', u'Plot': u'Contestants are sent out onto the street, armed only with a tiny earpiece, and are given wild tasks to complete with unsuspecting bystanders - all of the action is captured on a hidden ...', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Game Show in My Head', u'Country': u'USA', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'7.4', u'Director': u'N/A', u'Released': u'03 Jan 2009', u'Actors': u'Joe Rogan, James Groh', u'Year': u'2009–', u'Genre': u'Game-Show', u'Awards': u'N/A', u'Runtime': u'30 min', u'Type': u'series', u'Poster': u'N/A', u'imdbVotes': u'58', u'imdbID': u'tt0978760'}",1,1,30 min,Game-Show,,7.4,03 Jan 2009,"Contestants are sent out onto the street, armed only with a tiny earpiece, and are given wild tasks to complete with unsuspecting bystanders - all of the action is captured on a hidden ...",2009–,series,58,,[tv series pilot],2009,0
394,"{u'imdbID': u'tt1483306', u'Title': u'Underdog to Wonderdog', u'Type': u'series', u'Poster': u'N/A', u'Year': u'2009–'}",January 3 - Underdog to Wonderdog,1,Underdog to Wonderdog,tt1483306,"{u'totalSeasons': u'2', u'Plot': u'N/A', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Underdog to Wonderdog', u'Country': u'USA', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'8.3', u'Director': u'N/A', u'Released': u'03 Jan 2009', u'Actors': u'Andrea Arden, David Leon, Ali McLennan, Ryan Smith', u'Year': u'2009–', u'Genre': u'Reality-TV', u'Awards': u'N/A', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'N/A', u'imdbVotes': u'14', u'imdbID': u'tt1483306'}",2,0,,Reality-TV,,8.3,03 Jan 2009,,2009–,series,14,,"[dog, non fiction]",2009,0
395,"{u'imdbID': u'tt1347631', u'Title': u'Confessions of a Teen Idol', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BODU5MDlhZGUtNDQ4ZS00ZWJmLTkzMmUtMmY1YjFhY2YxNjYxXkEyXkFqcGdeQXVyMTQyNjM3NzM@._V1_SX300.jpg', u'Year': u'2009–'}",January 4 - Confessions of a Teen Idol,1,Confessions of a Teen Idol,tt1347631,"{u'totalSeasons': u'1', u'Plot': u'N/A', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Confessions of a Teen Idol', u'Country': u'USA', u'Writer': u'Eric Bischoff', u'Metascore': u'N/A', u'imdbRating': u'7.1', u'Director': u'N/A', u'Released': u'04 Jan 2009', u'Actors': u'Christopher Atkins, Scott Baio, David Chokachi, Jason Hervey', u'Year': u'2009–', u'Genre': u'Reality-TV', u'Awards': u'N/A', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BODU5MDlhZGUtNDQ4ZS00ZWJmLTkzMmUtMmY1YjFhY2YxNjYxXkEyXkFqcGdeQXVyMTQyNjM3NzM@._V1_SX300.jpg', u'imdbVotes': u'183', u'imdbID': u'tt1347631'}",1,1,,Reality-TV,,7.1,04 Jan 2009,,2009–,series,183,,[],2009,0
396,"{u'imdbID': u'tt1344286', u'Title': u'Superstars of Dance', u'Type': u'series', u'Poster': u'N/A', u'Year': u'2009–'}",January 4 - Superstars of Dance,1,Superstars of Dance,tt1344286,"{u'totalSeasons': u'1', u'Plot': u'A competition featuring masters of dance genres from Ireland, India, USA, Argentina, China, Russia, South Africa and Australia. Each team is comprised of two soloists, one duo and a larger group, all representing their country's best known dance forms.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Superstars of Dance', u'Country': u'USA', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'4.1', u'Director': u'N/A', u'Released': u'04 Jan 2009', u'Actors': u'Leonardo Barrionuevo, Henry Byalikov, Susie Castillo, Joe Cipriano', u'Year': u'2009–', u'Genre': u'Reality-TV', u'Awards': u'N/A', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'N/A', u'imdbVotes': u'172', u'imdbID': u'tt1344286'}",1,1,,Reality-TV,,4.1,04 Jan 2009,"A competition featuring masters of dance genres from Ireland, India, USA, Argentina, China, Russia, South Africa and Australia. Each team is comprised of two soloists, one duo and a larger group, all representing their country's best known dance forms.",2009–,series,172,,[],2009,0
397,"{u'imdbID': u'tt1343342', u'Title': u'Daddy's Girls', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BNjg4MDYwODY5Nl5BMl5BanBnXkFtZTgwNDM1NDcwMzE@._V1_SX300.jpg', u'Year': u'2009–'}",January 5 - Daddy's Girls,1,Daddy's Girls,tt1343342,"{u'totalSeasons': u'2', u'Plot': u'N/A', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Daddy's Girls', u'Country': u'USA', u'Writer': u'Jason A. Carbone', u'Metascore': u'N/A', u'imdbRating': u'7.0', u'Director': u'N/A', u'Released': u'05 Jan 2009', u'Actors': u'L.A. James, Karen Jin Beck, Brian Bolton, Jen Kucsak', u'Year': u'2009–', u'Genre': u'Reality-TV', u'Awards': u'N/A', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BNjg4MDYwODY5Nl5BMl5BanBnXkFtZTgwNDM1NDcwMzE@._V1_SX300.jpg', u'imdbVotes': u'53', u'imdbID': u'tt1343342'}",2,0,,Reality-TV,,7.0,05 Jan 2009,,2009–,series,53,,[],2009,0
398,"{u'imdbID': u'tt1352486', u'Title': u'DietTribe', u'Type': u'series', u'Poster': u'N/A', u'Year': u'2009–'}",January 5 - DietTribe,1,DietTribe,tt1352486,"{u'totalSeasons': u'2', u'Plot': u'N/A', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'DietTribe', u'Country': u'USA', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'5.8', u'Director': u'N/A', u'Released': u'05 Jan 2009', u'Actors': u'Stacy Kaiser, Jessie Pavelka', u'Year': u'2009–', u'Genre': u'Reality-TV', u'Awards': u'N/A', u'Runtime': u'60 min', u'Type': u'series', u'Poster': u'N/A', u'imdbVotes': u'17', u'imdbID': u'tt1352486'}",2,0,60 min,Reality-TV,,5.8,05 Jan 2009,,2009–,series,17,,[],2009,0
399,"{u'imdbID': u'tt1232714', u'Title': u'True Beauty', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1MDgyNTIyOV5BMl5BanBnXkFtZTcwOTQ4OTMyMg@@._V1_SX300.jpg', u'Year': u'2009–2010'}",January 5 - True Beauty,1,True Beauty,tt1232714,"{u'totalSeasons': u'2', u'Plot': u'Several models compete to be chosen as the most beautiful person, but they are not told that the real purpose of the competition is to chose the one with the most beautiful personal qualities such as character, virtue, honesty, etc.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'True Beauty', u'Country': u'USA', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'4.9', u'Director': u'N/A', u'Released': u'05 Jan 2009', u'Actors': u'Vanessa Lachey, Carson Kressley, Beth Stern, Taylor Bills', u'Year': u'2009–2010', u'Genre': u'Reality-TV', u'Awards': u'N/A', u'Runtime': u'60 min', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1MDgyNTIyOV5BMl5BanBnXkFtZTcwOTQ4OTMyMg@@._V1_SX300.jpg', u'imdbVotes': u'367', u'imdbID': u'tt1232714'}",2,0,60 min,Reality-TV,,4.9,05 Jan 2009,"Several models compete to be chosen as the most beautiful person, but they are not told that the real purpose of the competition is to chose the one with the most beautiful personal qualities such as character, virtue, honesty, etc.",2009–2010,series,367,,"[competition, fashion model, deception, self respect, self esteem, inner beauty, beauty contest, non fiction]",2009,0
400,"{u'imdbID': u'tt1204828', u'Title': u'13: Fear Is Real', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NDE5MDE2OV5BMl5BanBnXkFtZTcwNTgyMjAyMg@@._V1_SX300.jpg', u'Year': u'2009–'}",January 7 - 13: Fear Is Real,1,13: Fear Is Real,tt1204828,"{u'totalSeasons': u'1', u'Plot': u'A new reality series that incorporates aspects from the horror movie genre.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'13: Fear Is Real', u'Country': u'USA', u'Writer': u'Gunnar Wetterberg', u'Metascore': u'N/A', u'imdbRating': u'5.6', u'Director': u'N/A', u'Released': u'07 Jan 2009', u'Actors': u'Erica Renee Davis, Ted Kirner, Melyssa Nocar, Adam Wood', u'Year': u'2009–', u'Genre': u'Horror, Reality-TV', u'Awards': u'N/A', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NDE5MDE2OV5BMl5BanBnXkFtZTcwNTgyMjAyMg@@._V1_SX300.jpg', u'imdbVotes': u'290', u'imdbID': u'tt1204828'}",1,1,,"Horror, Reality-TV",,5.6,07 Jan 2009,A new reality series that incorporates aspects from the horror movie genre.,2009–,series,290,,"[digit in title, number in title]",2009,0
401,"{u'imdbID': u'tt1319598', u'Title': u'Meet the Browns', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMjA1MTQwNjczNF5BMl5BanBnXkFtZTcwOTEyMTA3NQ@@._V1_SX300.jpg', u'Year': u'2009–2012'}",January 7 - Meet the Browns,1,Meet the Browns,tt1319598,"{u'totalSeasons': u'4', u'Plot': u'For Cora Simmons, living at home as a grown adult has its challenges. Especially when you have Mr. Brown as a daddy.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Meet the Browns', u'Country': u'USA', u'Writer': u'Tyler Perry', u'Metascore': u'N/A', u'imdbRating': u'3.4', u'Director': u'N/A', u'Released': u'07 Jan 2009', u'Actors': u'Denise Boutte, Tamela J. Mann, David Mann, Lamman Rucker', u'Year': u'2009–2012', u'Genre': u'Comedy', u'Awards': u'1 win & 4 nominations.', u'Runtime': u'30 min', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMjA1MTQwNjczNF5BMl5BanBnXkFtZTcwOTEyMTA3NQ@@._V1_SX300.jpg', u'imdbVotes': u'1,868', u'imdbID': u'tt1319598'}",4,0,30 min,Comedy,,3.4,07 Jan 2009,"For Cora Simmons, living at home as a grown adult has its challenges. Especially when you have Mr. Brown as a daddy.",2009–2012,series,"1,868",,"[family relationships, sitcom, african american, character name in title]",2009,0
402,"{u'imdbID': u'tt1328196', u'Title': u'Greg Behrendt's Wake Up Call', u'Type': u'series', u'Poster': u'N/A', u'Year': u'2009'}",January 8 - Greg Behrendt's Wake Up Call,1,Greg Behrendt's Wake Up Call,tt1328196,"{u'totalSeasons': u'N/A', u'Plot': u'To save couples who are on the brink of breaking up. Each episode will take the viewer on an emotional roller coaster ride as the host helps a troubled couple by giving them the tools they need to work through their relationship problems.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'N/A', u'Title': u'Greg Behrendt's Wake Up Call', u'Country': u'N/A', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'N/A', u'Director': u'N/A', u'Released': u'08 Jan 2009', u'Actors': u'Greg Behrendt', u'Year': u'2009', u'Genre': u'Reality-TV', u'Awards': u'N/A', u'Runtime': u'1 h', u'Type': u'series', u'Poster': u'N/A', u'imdbVotes': u'N/A', u'imdbID': u'tt1328196'}",0,0,1 h,Reality-TV,,,08 Jan 2009,To save couples who are on the brink of breaking up. Each episode will take the viewer on an emotional roller coaster ride as the host helps a troubled couple by giving them the tools they need to work through their relationship problems.,2009,series,,,[],2009,0
403,"{u'imdbID': u'tt1182156', u'Title': u'Parking Wars', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOTUxOTQ0MTcxMF5BMl5BanBnXkFtZTcwODc3NjY3MQ@@._V1_SX300.jpg', u'Year': u'2008–'}",January 8 - Parking Wars,1,Parking Wars,tt1182156,"{u'totalSeasons': u'6', u'Plot': u'This TV show follows the Philadelphia Parking Authority (PPA). It is split into three segments impound lot, booting/towing, and ticketing.', u'Rated': u'TV-PG', u'Response': u'True', u'Language': u'English', u'Title': u'Parking Wars', u'Country': u'USA', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'6.8', u'Director': u'N/A', u'Released': u'08 Jan 2008', u'Actors': u'Daniel Jenkins', u'Year': u'2008–', u'Genre': u'Reality-TV', u'Awards': u'N/A', u'Runtime': u'30 min', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOTUxOTQ0MTcxMF5BMl5BanBnXkFtZTcwODc3NjY3MQ@@._V1_SX300.jpg', u'imdbVotes': u'467', u'imdbID': u'tt1182156'}",6,0,30 min,Reality-TV,TV-PG,6.8,08 Jan 2008,"This TV show follows the Philadelphia Parking Authority (PPA). It is split into three segments impound lot, booting/towing, and ticketing.",2008–,series,467,,"[parking ticket, car wreck, angry people]",2008,0
404,"{u'imdbID': u'tt1232190', u'Title': u'Howie Do It', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTMyMTM2ODYyOV5BMl5BanBnXkFtZTcwMDk4MzQyMg@@._V1_SX300.jpg', u'Year': u'2008–'}",January 9 - Howie Do It,1,Howie Do It,tt1232190,"{u'totalSeasons': u'1', u'Plot': u'Howie do it is a show that make practical jokes, the difference of this show of the others shows, is that the camara is not hidden, created by Howie Mandel.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Howie Do It', u'Country': u'Canada, USA', u'Writer': u'Howie Mandel', u'Metascore': u'N/A', u'imdbRating': u'3.1', u'Director': u'N/A', u'Released': u'N/A', u'Actors': u'Howie Mandel, Ravidrums, Ayumi Iizuka, Vic Cohen', u'Year': u'2008–', u'Genre': u'Comedy, Reality-TV', u'Awards': u'N/A', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTMyMTM2ODYyOV5BMl5BanBnXkFtZTcwMDk4MzQyMg@@._V1_SX300.jpg', u'imdbVotes': u'315', u'imdbID': u'tt1232190'}",1,1,,"Comedy, Reality-TV",,3.1,,"Howie do it is a show that make practical jokes, the difference of this show of the others shows, is that the camara is not hidden, created by Howie Mandel.",2008–,series,315,,"[candid camera, stand up comedian, comedian, prank, practical joke, hidden camera, bleeped dialogue, character name in title]",2008,0
405,"{u'imdbID': u'tt1349836', u'Title': u'Tool Academy', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTc3MDA5MDIyMV5BMl5BanBnXkFtZTcwMTU2NjUyMg@@._V1_SX300.jpg', u'Year': u'2009–'}",January 11 - Tool Academy,1,Tool Academy,tt1349836,"{u'totalSeasons': u'3', u'Plot': u'Ten obnoxious, loutish men are unknowingly nominated by their girlfriends to compete for a $100,000 prize, which they can only win by reforming themselves into responsible, mature partners.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Tool Academy', u'Country': u'USA', u'Writer': u'Jim Ackerman, Dave Hamilton, Mike Riley, SallyAnn Salsano', u'Metascore': u'N/A', u'imdbRating': u'4.4', u'Director': u'N/A', u'Released': u'10 Jan 2009', u'Actors': u'Jordan Murphy, Trina Dolenz', u'Year': u'2009–', u'Genre': u'Game-Show, Reality-TV', u'Awards': u'N/A', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTc3MDA5MDIyMV5BMl5BanBnXkFtZTcwMTU2NjUyMg@@._V1_SX300.jpg', u'imdbVotes': u'346', u'imdbID': u'tt1349836'}",3,0,,"Game-Show, Reality-TV",,4.4,10 Jan 2009,"Ten obnoxious, loutish men are unknowingly nominated by their girlfriends to compete for a $100,000 prize, which they can only win by reforming themselves into responsible, mature partners.",2009–,series,346,,"[couples therapy, group therapy, makeover, infidelity, dating, competition, non fiction]",2009,0
406,"{u'imdbID': u'tt2193041', u'Title': u'Beauty and the Beast', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMTM3MzE1ODE4OF5BMl5BanBnXkFtZTcwODI0MTcyOA@@._V1_SX300.jpg', u'Year': u'2012–2016'}",January 15 - The Beast,1,The Beast,tt2193041,"{u'totalSeasons': u'4', u'Plot': u'A beautiful detective falls in love with an ex-soldier who goes into hiding from the secret government organization that turned him into a mechanically charged beast.', u'Rated': u'TV-14', u'Response': u'True', u'Language': u'English', u'Title': u'Beauty and the Beast', u'Country': u'Canada', u'Writer': u'Sherri Cooper-Landsman, Ron Koslow, Jennifer Levin', u'Metascore': u'N/A', u'imdbRating': u'7.2', u'Director': u'N/A', u'Released': u'11 Oct 2012', u'Actors': u'Kristin Kreuk, Jay Ryan, Nina Lisandrello, Austin Basis', u'Year': u'2012–2016', u'Genre': u'Drama, Horror, Romance', u'Awards': u'3 wins & 12 nominations.', u'Runtime': u'60 min', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3MzE1ODE4OF5BMl5BanBnXkFtZTcwODI0MTcyOA@@._V1_SX300.jpg', u'imdbVotes': u'30,415', u'imdbID': u'tt2193041'}",4,0,60 min,"Drama, Horror, Romance",TV-14,7.2,11 Oct 2012,A beautiful detective falls in love with an ex-soldier who goes into hiding from the secret government organization that turned him into a mechanically charged beast.,2012–2016,series,"30,415",,"[ex soldier, vigilante, medical doctor, genetic engineering, genetic experimentation, former soldier, police detective, nypd, female detective, new york city, beauty and the beast, based on tv series]",2012,0
407,"{u'imdbID': u'tt1280478', u'Title': u'Will Work for Food', u'Type': u'series', u'Poster': u'N/A', u'Year': u'2009–'}",January 19 - Will Work for Food,1,Will Work for Food,tt1280478,"{u'totalSeasons': u'1', u'Plot': u'N/A', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Will Work for Food', u'Country': u'USA', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'6.9', u'Director': u'N/A', u'Released': u'19 Jan 2009', u'Actors': u'Adam Gertler', u'Year': u'2009–', u'Genre': u'Reality-TV', u'Awards': u'N/A', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'N/A', u'imdbVotes': u'21', u'imdbID': u'tt1280478'}",1,1,,Reality-TV,,6.9,19 Jan 2009,,2009–,series,21,,[],2009,0
408,"{u'imdbID': u'tt1235099', u'Title': u'Lie to Me', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2MjA4MTM2OV5BMl5BanBnXkFtZTcwMTYzMzA1Mg@@._V1_SX300.jpg', u'Year': u'2009–2011'}",January 21 - Lie to Me,1,Lie to Me,tt1235099,"{u'totalSeasons': u'3', u'Plot': u'Dr. Cal Lightman teaches a course in body language and makes an honest fortune exploiting it. He's employed by various public authorities in various investigations, doing more when the police etc. fail to go the extra mile. So he can afford to constitute a team of his own, which like clients and others has to put up with his mind-games.', u'Rated': u'TV-14', u'Response': u'True', u'Language': u'English', u'Title': u'Lie to Me', u'Country': u'USA', u'Writer': u'Samuel Baum', u'Metascore': u'N/A', u'imdbRating': u'8.0', u'Director': u'N/A', u'Released': u'21 Jan 2009', u'Actors': u'Tim Roth, Kelli Williams, Brendan Hines, Monica Raymund', u'Year': u'2009–2011', u'Genre': u'Crime, Drama, Mystery', u'Awards': u'Nominated for 1 Primetime Emmy. Another 3 wins & 5 nominations.', u'Runtime': u'43 min', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2MjA4MTM2OV5BMl5BanBnXkFtZTcwMTYzMzA1Mg@@._V1_SX300.jpg', u'imdbVotes': u'90,443', u'imdbID': u'tt1235099'}",3,0,43 min,"Crime, Drama, Mystery",TV-14,8.0,21 Jan 2009,"Dr. Cal Lightman teaches a course in body language and makes an honest fortune exploiting it. He's employed by various public authorities in various investigations, doing more when the police etc. fail to go the extra mile. So he can afford to constitute a team of his own, which like clients and others has to put up with his mind-games.",2009–2011,series,"90,443",,"[investigation, washington d.c., watching video, videotape, truth, teenage daughter, secret, revelation, police investigation, imperative in title, hidden truth, father daughter relationship, crime investigation, interrogation, deception, video camera, interview, lying, lie, facial expression]",2009,0
409,"{u'imdbID': u'tt1458518', u'Title': u'Olivia', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNjY5ODk2M15BMl5BanBnXkFtZTcwNjM0NzA4NQ@@._V1_SX300.jpg', u'Year': u'2009–'}",January 26 - Olivia,1,Olivia,tt1458518,"{u'totalSeasons': u'2', u'Plot': u'Olivia is an imaginative, and creative pig. She does everything with her best friends, Julian and Francine. Olivia is always up for fun, if it's at school, at home, or at a friends house! Olivia is recommended for kids 4+.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Olivia', u'Country': u'UK', u'Writer': u'N/A', u'Metascore': u'N/A', u'imdbRating': u'6.6', u'Director': u'N/A', u'Released': u'26 Jan 2009', u'Actors': u'Emily Gray, Susan Balboni, Danny Katiana, Dayton Malone', u'Year': u'2009–', u'Genre': u'Animation, Family', u'Awards': u'N/A', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNjY5ODk2M15BMl5BanBnXkFtZTcwNjM0NzA4NQ@@._V1_SX300.jpg', u'imdbVotes': u'136', u'imdbID': u'tt1458518'}",2,0,,"Animation, Family",,6.6,26 Jan 2009,"Olivia is an imaginative, and creative pig. She does everything with her best friends, Julian and Francine. Olivia is always up for fun, if it's at school, at home, or at a friends house! Olivia is recommended for kids 4+.",2009–,series,136,,[],2009,0
410,"{u'imdbID': u'tt1104002', u'Title': u'Trust Me', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMjc1NzM1ODE1Ml5BMl5BanBnXkFtZTcwMTU4MDYyMg@@._V1_SX300.jpg', u'Year': u'2009'}",January 26 - Trust Me,1,Trust Me,tt1104002,"{u'totalSeasons': u'1', u'Plot': u'A look at the private and professional lives of employees at the Chicago advertising agency Rothman, Greene & Moore.', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'Trust Me', u'Country': u'USA', u'Writer': u'Hunt Baldwin, John Coveny', u'Metascore': u'N/A', u'imdbRating': u'7.4', u'Director': u'N/A', u'Released': u'N/A', u'Actors': u'Eric McCormack, Tom Cavanagh, Monica Potter, Sarah Clarke', u'Year': u'2009', u'Genre': u'Drama', u'Awards': u'N/A', u'Runtime': u'60 min', u'Type': u'series', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMjc1NzM1ODE1Ml5BMl5BanBnXkFtZTcwMTU4MDYyMg@@._V1_SX300.jpg', u'imdbVotes': u'987', u'imdbID': u'tt1104002'}",1,1,60 min,Drama,,7.4,,"A look at the private and professional lives of employees at the Chicago advertising agency Rothman, Greene & Moore.",2009,series,987,,[],2009,0
411,"{u'imdbID': u'tt1361721', u'Title': u'For the Love of Ray J', u'Type': u'series', u'Poster': u'N/A', u'Year': u'2009–'}",February 2 - For the Love of Ray J,1,For the Love of Ray J,tt1361721,"{u'totalSeasons': u'2', u'Plot': u'N/A', u'Rated': u'N/A', u'Response': u'True', u'Language': u'English', u'Title': u'For the Love of Ray J', u'Country': u'USA', u'Writer': u'Cris Abrego, Mark Cronin', u'Metascore': u'N/A', u'imdbRating': u'3.2', u'Director': u'N/A', u'Released': u'02 Feb 2009', u'Actors': u'Ray J, Brandi Boyd, Joanna Hernandez', u'Year': u'2009–', u'Genre': u'Game-Show, Reality-TV, Romance', u'Awards': u'N/A', u'Runtime': u'N/A', u'Type': u'series', u'Poster': u'N/A', u'imdbVotes': u'347', u'imdbID': u'tt1361721'}",2,0,,"Game-Show, Reality-TV, Romance",,3.2,02 Feb 2009,,2009–,series,347,,[],2009,0
